idMN,nX,nY,nZ,idSegment,idMuscle,
     2,245.291,37.9556,1428.84,     8,     1,
     4,241.208,31.9508,1428.84,     8,     1,
     6,232.285,31.9508,1428.84,     8,     1,
     8,233.113,28.0768,1786.05,     7,     1,
    10,228.988,23.3311,1428.84,     8,     1,
    12,224.175,20.135,1428.84,     8,     1,
    14,225.943,16.5515,1428.84,     8,     1,
    15,228.988,16.1641,1428.84,     8,     1,
    16,232.285,16.8421,1786.05,     7,     1,
    18,237.925,13.0649,1428.84,     8,     1,
    20,243.271,15.3893,1428.84,     8,     1,
    22,248.869,18.876,1428.84,     8,     1,
    24,252.068,23.6216,1428.84,     8,     1,
    26,249.767,29.0453,1428.84,     8,     1,
    27,250.104,31.9508,1428.84,     8,     1,
    28,249.711,34.8563,1786.05,     7,     1,
    30,246.512,30.1106,1428.84,     8,     1,
    32,236.059,29.0453,1786.05,     7,     1,
    33,240.282,29.0453,1428.84,     8,     1,
    35,248.237,22.4594,1428.84,     8,     1,
    36,245.684,22.5148,1428.84,     8,     1,
    38,242.05,24.8807,1428.84,     8,     1,
    39,239.054,25.7524,1428.84,     8,     1,
    41, 228.3,19.6508,1428.84,     8,     1,
    42,231.492,20.135,1428.84,     8,     1,
    44,234.979,21.2004,1428.84,     8,     1,
    46,239.054,21.5878,1428.84,     8,     1,
    47,240.528,18.198,1428.84,     8,     1,
    49,245.391,22.0288,1071.63,     9,     1,
    51,240.535,17.4721,1071.63,     9,     1,
    54,233.718,22.2867,1071.63,     9,     1,
    55,230.836,23.2325,1071.63,     9,     1,
    56,228.109,22.0288,1071.63,     9,     1,
    57,228.109,19.0197,1071.63,     9,     1,
    61,221.251,14.8069,1071.63,     9,     1,
    65,216.124,22.2867,1071.63,     9,     1,
    66,215.23,24.4361,1071.63,     9,     1,
    68,217.275,31.2282,1071.63,     9,     1,
    70,218.865,36.3867,1071.63,     9,     1,
    74,232.526,42.2331,1071.63,     9,     1,
    76,235.366,36.3867,1071.63,     9,     1,
    78,243.602,34.6672,1071.63,     9,     1,
    82,242.565,24.4361,1071.63,     9,     1,
    83,240.535,21.0831,1071.63,     9,     1,
    85,239.285,24.6941,1071.63,     9,     1,
    87,224.772,17.4721,1071.63,     9,     1,
    89,221.592,20.2233,1071.63,     9,     1,
    91,218.865,26.2416,1071.63,     9,     1,
    92,223.033,23.7483,1071.63,     9,     1,
    94,223.58,26.7575,1071.63,     9,     1,
    96,221.592,32.5178,1071.63,     9,     1,
    98,224.772,30.4544,1071.63,     9,     1,
    99,227.996,29.1648,1071.63,     9,     1,
   100,230.381,29.1648,1071.63,     9,     1,
   102,228.109,26.2416,1071.63,     9,     1,
   103,237.645,27.7892,1071.63,     9,     1,
   105,224.929,34.3233,1071.63,     9,     1,
   106,228.848,35.441,1071.63,     9,     1,
   107,232.185,34.9252,1071.63,     9,     1,
   108,236.346,33.3776,1071.63,     9,     1,
   109,235.749,25.6398,1071.63,     9,     1,
   111,240.279,29.1648,1071.63,     9,     1,
   113,227.655,37.0745,1071.63,     9,     1,
   114,231.333,38.0203,1071.63,     9,     1,
   116,217.478,-12.7533,714.42,    10,     1,
   117,214.503,-14.7425,714.42,    10,     1,
   118,212.055,-13.9965,714.42,    10,     1,
   119,209.267,-11.7587,714.42,    10,     1,
   121,214.503,-4.79641,714.42,    10,     1,
   122,215.931,1.17123,714.42,    10,     1,
   123,213.483,3.03612,714.42,    10,     1,
   124,212.055,7.38752,714.42,    10,     1,
   125,208.383,12.3606,714.42,    10,     1,
   127,201.413,10.3713,714.42,    10,     1,
   129,205.221,3.03612,714.42,    10,     1,
   131,202.96,-3.67748,714.42,    10,     1,
   133,195.582,-1.81259,714.42,    10,     1,
   135,198.557,5.39831,714.42,    10,     1,
   136,199.577,0.0522987,714.42,    10,     1,
   137,202.773,2.41449,714.42,    10,     1,
   138,198.557,10.3713,714.42,    10,     1,
   139,192.726,-1.81259,714.42,    10,     1,
   140,194.63,5.39831,714.42,    10,     1,
   141,198.013,15.3444,714.42,    10,     1,
   142,195.99,18.3282,714.42,    10,     1,
   143,198.965,21.312,714.42,    10,     1,
   144,201.821,22.3066,714.42,    10,     1,
   145,205.221,20.4417,714.42,    10,     1,
   146,209.267,18.3282,714.42,    10,     1,
   147,213.908,16.339,714.42,    10,     1,
   148,201.821,15.3444,714.42,    10,     1,
   149,201.821,18.3282,714.42,    10,     1,
   150,206.411,16.339,714.42,    10,     1,
   151,218.281,18.1883,714.42,    10,     1,
   152,211.715,13.3552,714.42,    10,     1,
   153,218.966,13.3552,714.42,    10,     1,
   154,221.138,11.3504,714.42,    10,     1,
   155,221.822,6.14426,714.42,    10,     1,
   156,222.476,1.17123,714.42,    10,     1,
   157,221.048,-1.81259,714.42,    10,     1,
   158, 218.6,-4.90297,714.42,    10,     1,
   159,218.481,-9.64511,714.42,    10,     1,
   160,213.908,-9.64511,714.42,    10,     1,
   161,216.458,-1.91915,714.42,    10,     1,
   162,218.966,3.03612,714.42,    10,     1,
   163,215.931,7.38752,714.42,    10,     1,
   164,218.481,9.25241,714.42,    10,     1,
   165,215.506,11.4903,714.42,    10,     1,
   166,267.088,32.2566,1786.05,     7,     2,
   168,263.422,35.5064,1786.05,     7,     2,
   169,260.397,35.7772,1786.05,     7,     2,
   171,259.664,29.9998,1786.05,     7,     2,
   172,260.397,27.1112,1786.05,     7,     2,
   173,263.422,33.3399,1786.05,     7,     2,
   175,264.888,29.9998,1786.05,     7,     2,
